gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,monthly_to_total_ratio,avg_monthly_charge,charge_consistency,high_monthly_charge,service_count,has_premium_support,has_streaming,contract_value,auto_payment,has_family,is_senior_alone
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,19.8,0,0-12,1,0.9519230769230769,9.9,2.0,0,1,0,0,0,1,0,0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.85,7677.4,0,49-72,0,0.013915659512398416,105.16986301369863,1.0159754604423372,1,7,1,1,1,1,1,0
Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.5,1800.05,0,25-48,0,0.03858860109380639,66.66851851851851,1.0424710424710426,0,6,1,1,0,1,0,0
Female,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.65,151.3,1,0-12,1,0.3325673013788575,37.825,1.3390614672835426,0,3,0,0,0,0,0,0
Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.9,6342.7,0,49-72,0,0.014171540268297683,88.09305555555555,1.0205117694357293,1,9,1,1,2,1,1,0
Female,0,No,No,43,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.05,2076.2,1,25-48,0,0.02361351819757366,47.18636363636363,1.0394952316732493,0,4,0,1,0,1,0,0
Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,304.6,0,13-24,0,0.06479057591623036,19.0375,1.0400525279054498,0,1,0,0,1,0,0,0
Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.8,615.35,0,13-24,0,0.04023687839701468,25.639583333333334,0.9672544080604534,0,2,0,0,1,1,0,0
Male,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.6,50.6,1,0-12,1,0.9806201550387597,25.3,2.0,0,3,1,0,0,0,1,0
Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.15,6256.2,0,49-72,0,0.01696445694559867,104.27,1.0180301141267862,1,7,0,1,1,0,1,0
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.0,7661.8,0,49-72,0,0.01422456543300099,106.41388888888889,1.0243023832519773,1,8,1,1,2,1,1,0
Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.65,3545.05,0,25-48,0,0.019923576937719435,72.34795918367347,0.9765306554209392,1,2,0,0,0,1,1,0
Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,25-48,0,0.0408763388510224,98.71153846153847,1.0631989090200662,1,7,1,1,0,1,1,0
Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1809.35,0,49-72,0,0.014030436103515894,24.785616438356165,1.024787907259513,0,2,0,0,2,1,0,1
Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.2,7723.9,1,49-72,0,0.014783362891429017,108.78732394366196,1.04975465762115,1,9,1,1,2,1,1,0
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.45,34.8,0,0-12,1,0.5712290502793297,11.6,1.7629310344827587,0,1,0,0,1,0,0,0
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,958.15,0,25-48,0,0.020226241985090966,20.386170212765958,0.9516255283619475,0,1,0,0,2,1,1,0
Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,0,13-24,0,0.041928212242066935,57.63,1.0489328474752733,0,5,1,0,0,1,0,0
Female,1,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.05,4367.35,1,49-72,0,0.02015635194066409,85.6343137254902,1.0282093260215004,1,5,0,1,0,0,1,0
Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.55,4533.9,1,25-48,0,0.023716068711548216,103.04318181818181,1.0437371799113346,1,7,1,1,1,0,1,0
Female,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,78.95,5730.15,0,49-72,0,0.013775594775917575,78.49520547945205,1.0057939146444683,1,7,1,1,2,0,1,0
Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,655.9,1,0-12,0,0.1153143553052215,65.59,1.154901661838695,1,3,0,0,0,1,1,0
Female,0,Yes,No,58,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.25,3791.6,0,49-72,0,0.017204556241101093,64.26440677966102,1.015336533389598,0,5,1,1,0,1,1,0
Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.45,1614.05,0,13-24,0,0.04300176465124919,64.562,1.075710170069081,0,5,0,1,0,1,1,0
Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),90.95,4236.6,0,25-48,0,0.021462620351142155,90.1404255319149,1.0089812585563895,1,5,1,1,1,1,1,0
Female,0,Yes,Yes,0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,73.35,73.35,0,0-12,1,0.9865501008742434,73.35,1.0,1,7,1,1,2,0,1,0
Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,1,0-12,1,0.38534336326134433,51.2625,1.5488905145086564,1,4,0,0,0,0,0,1
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.75,294.9,0,13-24,0,0.06674552213585672,17.34705882352941,1.1385215327229572,0,1,0,0,0,1,0,0
Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.5,5835.5,0,49-72,0,0.018932579456866272,108.06481481481481,1.0225344871904722,1,8,1,1,1,0,1,0
Female,1,Yes,No,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,94.4,6126.15,0,49-72,0,0.015406836783822823,92.82045454545454,1.0170172130946844,1,6,1,1,0,0,1,0
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,862.4,0,25-48,0,0.02310632383599722,18.348936170212767,1.0872564935064934,0,1,0,0,2,1,1,0
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,0,13-24,0,0.04480608365019012,68.44791666666667,1.0760006087353524,1,6,1,1,0,1,1,0
Male,0,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.25,209.9,0,0-12,1,0.30938833570412516,52.475,1.2434492615531205,0,5,1,1,0,0,0,0
Male,0,No,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.7,335.65,0,0-12,1,0.16545373533343236,47.949999999999996,1.16162669447341,0,4,1,0,0,1,0,0
Male,0,Yes,No,57,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.7,3171.6,0,49-72,0,0.017556578200844733,54.682758620689654,1.0186025980577627,0,4,1,0,0,0,1,0
Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.3,4192.15,0,25-48,0,0.021296638565279087,91.1336956521739,0.9798790596710519,1,5,0,1,0,1,0,0
Male,0,No,No,70,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,40.05,2799.75,0,49-72,0,0.014299741140765865,39.433098591549296,1.0156442539512456,0,3,1,1,2,0,0,0
Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.05,56.35,1,0-12,1,0.43679163034001744,18.783333333333335,1.333629103815439,0,1,0,0,0,0,0,0
Female,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,3734.25,1,25-48,0,0.02665149588380965,95.75,1.039686684073107,1,6,1,1,0,0,0,1
Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,435.0,0,0-12,1,0.15848623853211008,62.142857142857146,1.1119540229885057,0,2,0,0,0,0,0,0
Female,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.95,1161.75,0,13-24,0,0.0764996774887121,82.98214285714286,1.071917366042608,1,9,1,1,2,1,1,0
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.45,370.65,1,0-12,1,0.23799273510022873,74.13,1.193174153514097,1,4,0,1,0,0,0,0
Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),96.9,4473.45,0,25-48,0,0.02165629295220642,91.29489795918367,1.0613955671796935,1,7,1,1,2,1,1,0
Female,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),86.2,3339.05,0,25-48,0,0.025807996886274158,79.50119047619049,1.0842604932540691,1,5,1,0,1,1,1,0
Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,6721.6,0,49-72,0,0.015529705768601434,103.40923076923077,1.0095810521304451,1,7,1,1,1,1,1,0
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),79.7,5743.3,0,49-72,0,0.013874623539856901,80.89154929577465,0.9852697926279317,1,8,1,1,2,1,1,0
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),74.6,74.6,0,0-12,1,0.9867724867724867,37.3,2.0,1,3,0,0,0,1,1,0
Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.45,3013.05,1,25-48,0,0.026359881222939235,77.25769230769231,1.0283765619554937,1,4,1,0,0,0,1,0
Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.25,512.45,1,0-12,1,0.1874573960463531,85.40833333333335,1.1269392135818126,1,5,0,1,0,0,0,0
Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,89.55,5231.2,0,49-72,0,0.017115171438400672,85.75737704918032,1.044225034408931,1,5,0,1,2,0,0,0
Female,1,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,0,25-48,0,0.04144100580270793,76.55555555555556,1.1194484760522496,1,4,0,1,0,1,1,0
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,1,0-12,0,0.09404981331820975,88.07916666666667,1.1296655470930508,1,6,0,1,0,0,1,0
Male,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.4,6692.65,0,49-72,0,0.015596871661948265,102.96384615384615,1.0139481371355143,1,7,0,1,2,1,0,0
Male,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.05,8016.6,0,49-72,0,0.014349680702454598,111.34166666666667,1.0333058902776737,1,9,1,1,2,1,1,0
Female,0,Yes,Yes,67,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),69.9,4615.9,0,49-72,0,0.015140029023803854,67.88088235294117,1.029745011807015,0,6,1,1,2,1,1,0
Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65,1,0-12,0,0.10563329224969187,62.60454545454545,1.163653525012706,1,3,0,0,0,0,0,1
Male,1,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.95,2964.8,0,25-48,0,0.03504956504147279,98.82666666666667,1.0518416082029143,1,6,0,1,0,0,1,0
Male,0,Yes,Yes,66,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),54.65,3632.0,0,49-72,0,0.015042664464629782,54.208955223880594,1.008136013215859,0,5,1,1,2,1,1,0
Male,0,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.6,2000.2,0,25-48,0,0.033779732160703575,64.5225806451613,1.047695230476952,0,7,1,0,0,0,1,0
Female,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.05,1067.05,0,13-24,0,0.05903281681569215,62.76764705882353,1.004498383393468,0,4,0,1,0,1,0,0
Female,1,No,No,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,72.1,3886.05,0,49-72,0,0.018548770918820182,70.65545454545455,1.0204449247951004,1,6,1,1,1,0,0,1
Female,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.2,7213.75,0,49-72,0,0.01374961017360269,100.19097222222223,0.9901091665222664,1,6,0,1,2,0,1,0
Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,1,0-12,1,0.4722146181220914,60.550000000000004,1.4244426094137075,1,5,1,0,0,0,0,0
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,0,0-12,1,0.9803149606299213,24.9,2.0,0,3,0,0,0,1,0,0
Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.5,2673.45,0,25-48,0,0.03757781973863785,95.48035714285713,1.0525725186556698,1,6,0,1,1,1,0,0
Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.95,529.5,1,0-12,0,0.13185673892554195,66.1875,1.0568460812086875,0,2,0,0,0,1,1,0
Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.25,412.55,0,13-24,0,0.046548180389312056,17.93695652173913,1.0732032480911404,0,1,0,0,1,0,0,0
Male,0,No,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,55.65,1653.85,0,25-48,0,0.03362842553705774,53.349999999999994,1.0431115276476102,0,4,1,0,2,0,0,0
Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,457.3,0,25-48,0,0.04320314204669431,16.937037037037037,1.169035643997376,0,1,0,0,1,1,0,0
Male,0,No,Yes,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.35,449.75,1,0-12,0,0.12279534109816972,44.975,1.2306837131739856,0,3,0,1,0,0,1,0
Female,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.25,1103.25,0,49-72,0,0.017432646592709985,18.08606557377049,1.0643553138454567,0,1,0,0,2,1,1,0
Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.4,261.3,0,13-24,0,0.07777354174609225,18.664285714285715,1.0929965556831227,0,1,0,0,2,0,0,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.0,1849.2,0,49-72,0,0.01351205275105394,25.33150684931507,0.9869132597880165,0,2,0,0,2,1,1,0
Female,1,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65,1,25-48,0,0.0357235488388982,99.67758620689655,1.036341307318423,1,7,1,1,0,0,0,1
Male,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.45,958.45,0,25-48,0,0.026525613632810464,23.96125,1.0621315665918931,0,2,0,0,1,1,1,0
Male,0,Yes,Yes,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.5,432.25,0,0-12,0,0.08193883439122908,33.25,1.0676691729323309,0,3,1,0,0,0,1,0
Male,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,460.2,0,25-48,0,0.04509973980919341,17.7,1.1751412429378532,0,1,0,0,0,0,1,0
Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,2391.8,1,13-24,0,0.042230859244399864,95.67200000000001,1.0562128940546867,1,6,0,1,0,0,1,0
Male,0,No,Yes,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.5,215.2,1,0-12,0,0.1179463459759482,23.91111111111111,1.066449814126394,0,1,0,0,0,0,1,0
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),94.35,5703.0,0,49-72,0,0.01654102384291725,91.98387096774194,1.0257233035244608,1,6,1,1,2,1,1,0
Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,116.95,0,0-12,1,0.21449766850360322,23.39,1.0816588285592132,0,2,0,0,2,1,0,0
Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,1973.75,1,13-24,0,0.04772756045068996,89.7159090909091,1.050538315389487,1,5,0,1,0,0,0,1
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,0,0-12,1,0.9896747547754259,47.925,2.0,1,5,1,1,0,0,0,0
Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,0,13-24,0,0.0651598629126719,71.971875,1.0434631583517866,1,3,1,0,0,0,1,0
Male,1,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,228.65,0,13-24,0,0.08556499020248202,15.243333333333334,1.2890881259567022,0,1,0,0,1,0,1,0
Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,1102.4,0,49-72,0,0.01817110748595251,20.043636363636367,1.000317489114659,0,1,0,0,2,1,1,0
Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,34.7,34.7,1,0-12,1,0.9719887955182073,17.35,2.0,0,2,0,1,0,0,0,0
Female,0,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),74.6,4368.95,0,49-72,0,0.01707113353699699,75.32672413793104,0.9903523729957998,1,7,1,1,1,1,1,0
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.35,780.5,1,0-12,0,0.12968650031989762,86.72222222222223,1.168673926969891,1,6,0,1,0,0,0,1
Female,0,No,No,36,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,70.7,2511.95,0,25-48,0,0.028134264509839038,67.89054054054054,1.0413821931169012,1,6,1,1,1,0,0,0
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,83.3,0,0-12,1,0.23784104389086597,16.66,1.203481392557023,0,1,0,0,0,0,0,0
Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1125.6,0,49-72,0,0.018329486951890645,19.406896551724138,1.0640547263681592,0,1,0,0,2,1,0,0
Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.05,733.95,0,0-12,0,0.08714878563167562,61.1625,1.0472103004291844,0,5,1,1,0,1,0,0
Male,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,4273.45,1,25-48,0,0.023804232123431086,99.38255813953488,1.0238215025330821,1,6,0,1,0,0,0,0
Male,0,No,No,11,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.75,608.0,1,0-12,0,0.08825944170771757,50.666666666666664,1.0608552631578947,0,4,0,0,0,0,0,0
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.0,269.65,0,0-12,0,0.0886754110474783,20.74230769230769,1.1570554422399408,0,2,0,0,2,1,1,0
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,2989.6,0,25-48,0,0.03031164314853207,87.92941176470588,1.030940594059406,1,5,1,1,0,0,0,0
